year,MI_PRINX,offense_id,rpt_date,occur_date,occur_time,poss_date,poss_time,beat,apt_office_prefix,apt_office_num,location,MinOfucr,MinOfibr_code,dispo_code,MaxOfnum_victims,Shift,Avg Day,loc_type,UC2 Literal,neighborhood,npu,x,y
2016,4347215,150102493,01/10/2016,01/10/2016,22:00:00,01/10/2016,22:00:00,511,,,78 MARIETTA ST,0512,2203,,1,Eve,Sun,21,BURGLARY-NONRES,Downtown,M,-84.394869999999997,33.757570000000001
2016,4350936,150611492,03/01/2016,02/25/2016,12:00:00,02/29/2016,19:00:00,412,,,2001 AUSTIN RD SW,0670,2308,,1,Unk,Unk,20,LARCENY-NON VEHICLE,Vine City,L,-84.414109999999994,33.758229999999998
2016,4357676,151471800,05/26/2016,05/26/2016,08:30:00,05/26/2016,13:00:00,206,,,2980 PIEDMONT RD,0670,2308,,1,Day,Thu,99,LARCENY-NON VEHICLE,Blandtown,D,-84.425610000000006,33.800579999999997
2016,4376452,160010061,01/01/2016,01/01/2016,00:03:00,01/01/2016,00:09:00,403,,,1316 AVON AVE SW,0410,1314,,2,Morn,Fri,20,AGG ASSAULT,Venetian Hills,S,-84.431070000000005,33.722090000000001
2016,4376457,160010495,01/01/2016,01/01/2016,00:01:00,01/01/2016,02:10:00,312,,,460 BELGARDE PL SE,0430,1315,,1,Morn,Fri,,AGG ASSAULT,Orchard Knob,Z,-84.37527,33.66433
2016,4376458,160010502,01/01/2016,01/01/2016,02:10:00,01/01/2016,02:15:00,503,,,1150 CRESCENT AVE NE,0720,2424,,0,Morn,Fri,13,AUTO THEFT,Midtown,E,-84.384370000000004,33.786009999999997
2016,4376459,160010568,01/01/2016,01/01/2016,03:37:00,01/01/2016,03:37:00,602,,,820 RALPH MC GILL NE,0640,2305,,1,Morn,Fri,,LARCENY-FROM VEHICLE,Poncey-Highland,N,-84.361490000000003,33.768799999999999
2016,4376460,160010583,01/01/2016,01/01/2016,02:30:00,01/01/2016,02:45:00,208,,1413,3380 PEACHTREE RD NE,0210,1103,20,1,Morn,Fri,,RAPE,North Buckhead,B,-84.365970000000004,33.84892
2016,4376461,160010606,01/01/2016,01/01/2016,01:00:00,01/01/2016,02:57:00,501,,,760 10TH ST,0640,2305,,2,Morn,Fri,13,LARCENY-FROM VEHICLE,Home Park,E,-84.412660000000002,33.781399999999998
2016,4376462,160010621,01/02/2016,01/01/2016,00:30:00,01/01/2016,01:30:00,309,,,2608 METROPOLITAN PKWY,0640,2305,,1,Morn,Fri,,LARCENY-FROM VEHICLE,Perkerson,X,-84.407219999999995,33.683790000000002
2016,4376463,160010669,01/01/2016,01/01/2016,00:05:00,01/01/2016,03:00:00,604,,,474 CHAMBERLAIN ST SE,0710,2404,,1,Morn,Fri,,AUTO THEFT,Sweet Auburn,M,-84.372200000000007,33.753830000000001
2016,4376464,160010680,01/01/2016,01/01/2016,02:35:00,01/01/2016,03:30:00,505,,,61 NORTH AVE NE,0640,2305,,1,Morn,Fri,18,LARCENY-FROM VEHICLE,Downtown,M,-84.38476,33.771189999999997
2016,4376466,160010772,01/01/2016,01/01/2016,03:50:00,01/01/2016,04:17:00,507,,6,350 PETERS ST SW,0331,1205,,1,Morn,Fri,13,ROBBERY-PEDESTRIAN,Castleberry Hill,M,-84.404060000000001,33.745199999999997
2016,4376467,160010848,01/01/2016,01/01/2016,05:00:00,01/01/2016,05:20:00,407,,,3534 MARTIN L KING JR DR SW,0420,1315K,,2,Morn,Fri,18,AGG ASSAULT,Adamsville,H,-84.503439999999998,33.757710000000003
2016,4376468,160010849,01/01/2016,01/01/2016,05:03:00,01/01/2016,05:03:00,603,,4,520 BOULEVARD NE,0410,1314,,1,Morn,Fri,26,AGG ASSAULT,Old Fourth Ward,M,-84.371979999999994,33.768459999999997
2016,4376469,160011010,01/01/2016,01/01/2016,05:00:00,01/01/2016,08:04:00,409,,,2997 CAMPBELLTON RD SW,0640,2305,,1,Morn,Fri,3,LARCENY-FROM VEHICLE,Southwest,R,-84.486230000000006,33.695959999999999
2016,4376470,160011078,01/01/2016,01/01/2016,06:00:00,01/01/2016,09:00:00,406,,20,1130 DOLPHIN DR SW,0511,2202,,1,Day,Fri,26,BURGLARY-RESIDENCE,Cascade Avenue/Road,S,-84.461640000000003,33.723979999999997
2016,4376479,160011504,01/01/2016,01/01/2016,03:00:00,01/01/2016,13:56:00,203,,2115,1040 HUFF RD NW,0640,2305,,2,Day,Fri,13,LARCENY-FROM VEHICLE,Blandtown,D,-84.422039999999996,33.789479999999998
2016,4376481,160011513,01/01/2016,01/01/2016,12:00:00,01/01/2016,14:00:00,411,,S6,3000 STONE HOGAN CONN SW,0650,2304,,1,Day,Fri,18,LARCENY-FROM VEHICLE,Greenbriar,R,-84.496970000000005,33.674239999999998
2016,4376482,160011550,01/01/2016,01/01/2016,14:20:00,01/01/2016,14:30:00,210,,,3393 PEACHTREE RD NE,0630,2303,,1,Day,Fri,24,LARCENY-NON VEHICLE,Lenox,B,-84.362120000000004,33.846760000000003
2016,4376483,160011569,01/01/2016,01/01/2016,14:49:00,01/01/2016,15:17:00,609,,,1275 CAROLINE ST NE @TARGET - CAROLINE,0630,2303,,1,Eve,Fri,8,LARCENY-NON VEHICLE,Edgewood,O,-84.346190000000007,33.756740000000001
2016,4376484,160011616,01/01/2016,01/01/2016,14:50:00,01/01/2016,15:00:00,107,,,575 ELMWOOD RD NW,0710,2404,,1,Day,Fri,20,AUTO THEFT,Grove Park,J,-84.438540000000003,33.770539999999997
2016,4376486,160011624,01/01/2016,01/01/2016,10:30:00,01/01/2016,12:00:00,602,,,725 PONCE DE LEON AVE NE @KROGER - PONCE,0690,2399,,1,Day,Fri,12,LARCENY-NON VEHICLE,Poncey-Highland,N,-84.363410000000002,33.771709999999999
2016,4376488,160011645,01/01/2016,01/01/2016,15:30:00,01/01/2016,17:00:00,104,,,1739 MARTIN L KING JR DR NW,0630,2303,,1,Eve,Fri,23,LARCENY-NON VEHICLE,Mozley Park,K,-84.443820000000002,33.751440000000002
2016,4376489,160011717,01/01/2016,01/01/2016,15:51:00,01/01/2016,15:51:00,411,,,2841 GREENBRIAR PKWY SW,0640,2305,,1,Eve,Fri,18,LARCENY-FROM VEHICLE,Greenbriar,R,-84.489170000000001,33.689920000000001
2016,4376490,160011823,01/01/2016,01/01/2016,15:15:00,01/01/2016,16:30:00,210,,,3393 PEACHTREE RD NE,0630,2303,,1,Eve,Fri,24,LARCENY-NON VEHICLE,Lenox,B,-84.362120000000004,33.846760000000003
2016,4376491,160011835,01/01/2016,01/01/2016,10:00:00,01/01/2016,12:00:00,111,,,I-285 SB EXPY NW / MARTIN L KING JR DR NW,0720,2424,,1,Day,Fri,13,AUTO THEFT,Adamsville,H,-84.495580000000004,33.753619999999998
2016,4376493,160011938,01/01/2016,01/01/2016,17:50:00,01/01/2016,17:55:00,406,,,3202 MARTIN LUTHER KING JR DR SW,0312,1201,,1,Eve,Fri,99,ROBBERY-COMMERCIAL,,I,-84.491820000000004,33.751759999999997
2016,4376494,160011958,01/01/2016,01/01/2016,18:05:00,01/01/2016,18:10:00,308,,,1835 HENRY THOMAS DR SE,0620,2302,,1,Eve,Fri,,LARCENY-NON VEHICLE,Thomasville Heights,Z,-84.357889999999998,33.704090000000001
2016,4376496,160011975,01/01/2016,01/01/2016,00:15:00,01/01/2016,02:35:00,507,,,255 TRINITY AVE,0610,2301,,1,Morn,Fri,3,LARCENY-NON VEHICLE,Downtown,M,-84.396230000000003,33.750819999999997
2016,4376497,160012002,01/01/2016,01/01/2016,16:30:00,01/01/2016,18:30:00,202,,,3539 NORTHSIDE PKWY NW,0640,2305,,1,Eve,Fri,18,LARCENY-FROM VEHICLE,Randall Mill,A,-84.430329999999998,33.851289999999999
2016,4376499,160012062,01/01/2016,01/01/2016,19:00:00,01/01/2016,19:05:00,210,,,2770 LENOX RD NE,0347,1299S,,1,Eve,Fri,18,ROBBERY-PEDESTRIAN,Pine Hills,B,-84.356830000000002,33.830919999999999
2016,4376500,160012081,01/01/2016,01/01/2016,17:00:00,01/01/2016,19:13:00,414,,,3195 ABBEY DR SW,0710,2404,,1,Eve,Fri,20,AUTO THEFT,Princeton Lakes,P,-84.514259999999993,33.668619999999997
2016,4376501,160012109,01/01/2016,01/01/2016,19:00:00,01/01/2016,20:00:00,409,,858,1717 CENTRA VILLA DR SW,0430,1315,20,1,Eve,Fri,20,AGG ASSAULT,Adams Park,R,-84.455709999999996,33.70928
2016,4376502,160012142,01/01/2016,01/01/2016,19:45:00,01/01/2016,20:00:00,101,,,600 GREENSFERRY AVE SW,0650,2304,,2,Eve,Fri,20,LARCENY-FROM VEHICLE,The Villages at Castleberry H,T,-84.407870000000003,33.746099999999998
2016,4376503,160012145,01/01/2016,01/01/2016,19:40:00,01/01/2016,19:45:00,602,,,245 N HIGHLAND AVE NE,0710,2404,,1,Eve,Fri,13,AUTO THEFT,Inman Park,N,-84.359480000000005,33.761940000000003
2016,4376504,160012156,01/01/2016,01/01/2016,17:00:00,01/01/2016,19:50:00,101,,,847 PARSONS ST SW,0640,2305,,1,Eve,Fri,13,LARCENY-FROM VEHICLE,Atlanta University Center,T,-84.415350000000004,33.750920000000001
2016,4376505,160012171,01/01/2016,01/01/2016,16:00:00,01/01/2016,19:15:00,203,,,1962 GRANDVIEW AVE NW,0710,2404,,1,Eve,Fri,13,AUTO THEFT,Riverside,D,-84.473140000000001,33.809159999999999
2016,4376506,160012235,01/01/2016,01/01/2016,21:06:00,01/01/2016,21:09:00,109,,,593 CEDAR AVE NW,0690,2399,,1,Eve,Fri,20,LARCENY-NON VEHICLE,Center Hill,J,-84.465500000000006,33.771299999999997
2016,4376507,160012244,01/01/2016,01/01/2016,20:20:00,01/01/2016,20:40:00,410,,,1911 DELOWE DR SW;,0420,1315K,,1,Eve,Fri,20,AGG ASSAULT,Campbellton Road,R,-84.457650000000001,33.702840000000002
2016,4376508,160012284,01/01/2016,01/01/2016,20:16:00,01/01/2016,20:19:00,301,,,BEATIE AVE / GENESSEE AVE SW,0311,1204,,1,Eve,Fri,99,ROBBERY-PEDESTRIAN,Capitol View,X,-84.410629999999998,33.71687
2016,4376509,160012305,01/01/2016,01/01/2016,12:00:00,01/01/2016,21:30:00,608,,,1641 CLIFTON TER NE/ 613 TERRACE AVE NE,0640,2305,,2,Eve,Fri,20,LARCENY-FROM VEHICLE,Candler Park,N,-84.333690000000004,33.771459999999998
2016,4376510,160012353,01/01/2016,01/01/2016,21:59:00,01/01/2016,22:00:00,401,,,724 VICTORIA PL,0710,2404A,,1,Eve,Fri,20,AUTO THEFT,West End,T,-84.416420000000002,33.734999999999999
2016,4376511,160012413,01/01/2016,01/01/2016,18:30:00,01/01/2016,19:30:00,501,,4100,265 18TH ST NW,0670,2308,,1,Eve,Fri,21,LARCENY-NON VEHICLE,Atlantic Station,E,-84.397790000000001,33.792819999999999
2016,4376513,160018018,01/01/2016,01/01/2016,00:20:00,01/01/2016,00:30:00,702,,,4500 ASR RD S,0522,2205,,1,Morn,Fri,11,BURGLARY-NONRES,,,-84.430359999999993,33.627740000000003
2016,4376515,160020071,01/02/2016,01/01/2016,22:00:00,01/02/2016,00:01:00,303,,,555 WHITEHALL ST SW,0640,2305,,1,Morn,Fri,18,LARCENY-FROM VEHICLE,Mechanicsville,V,-84.406279999999995,33.74297
2016,4376516,160020208,01/02/2016,01/02/2016,00:30:00,01/02/2016,01:30:00,312,,Y26,50 MOUNT ZION RD SW,0640,2305,,2,Morn,Sat,26,LARCENY-FROM VEHICLE,Glenrose Heights,Z,-84.39067,33.672730000000001
2016,4376517,160020469,01/02/2016,01/01/2016,21:00:00,01/02/2016,03:00:00,103,APT,2130,370 NORTHSIDE DR NW,0511,2202,,1,Morn,Sat,,BURGLARY-RESIDENCE,English Avenue,L,-84.404200000000003,33.765070000000001
2016,4376518,160020739,01/02/2016,01/01/2016,15:00:00,01/02/2016,05:00:00,103,APT,2343,370 NORTHSIDE DR NW,0511,2202,,1,Eve,Fri,,BURGLARY-RESIDENCE,English Avenue,L,-84.404200000000003,33.765070000000001
2016,4376519,160020857,01/02/2016,01/01/2016,18:00:00,01/02/2016,06:50:00,405,,3303,2524 MARTIN L KING JR DR SW,0710,2404,,1,Morn,Sat,18,AUTO THEFT,Harland Terrace,I,-84.470330000000004,33.752850000000002
2016,4376520,160020865,01/02/2016,01/01/2016,17:00:00,01/02/2016,06:30:00,504,,,390 WILLIAMS ST NW,0710,2404,,1,Morn,Fri,18,AUTO THEFT,Downtown,M,-84.390439999999998,33.765210000000003
2016,4376521,160020896,01/02/2016,01/02/2016,03:00:00,01/02/2016,07:00:00,604,,,303 PARKWAY DR NE,0610,2301,,1,Morn,Sat,28,LARCENY-NON VEHICLE,Old Fourth Ward,M,-84.374049999999997,33.762860000000003
2016,4376522,160020932,01/02/2016,01/02/2016,00:01:00,01/02/2016,06:30:00,504,,,390 WILLIAMS ST NW,0640,2305,,1,Morn,Sat,18,LARCENY-FROM VEHICLE,Downtown,M,-84.390439999999998,33.765210000000003
2016,4376524,160020955,01/02/2016,01/02/2016,08:00:00,01/02/2016,08:15:00,109,,,566 CEDAR AVE NW,0511,2202,,2,Day,Sat,,BURGLARY-RESIDENCE,Center Hill,J,-84.465950000000007,33.770760000000003
2016,4376525,160020971,01/02/2016,01/02/2016,07:00:00,01/02/2016,08:31:00,212,,401,2430 CHESHIRE BRIDGE RD NE,0430,1315,20,1,Day,Sat,18,AGG ASSAULT,Lindridge/Martin Manor,F,-84.351609999999994,33.821489999999997
2016,4376526,160020983,01/02/2016,01/01/2016,06:00:00,01/02/2016,08:30:00,105,,,1381 SHARON ST NW,0640,2305,,1,Unk,Fri,20,LARCENY-FROM VEHICLE,Hunter Hills,K,-84.432689999999994,33.754860000000001
2016,4376527,160021064,01/02/2016,01/01/2016,21:00:00,01/02/2016,09:22:00,401,,,401 HOLDERNESS ST SW,0341,1206,20,1,Morn,Sat,20,ROBBERY-PEDESTRIAN,West End,T,-84.427160000000001,33.744100000000003
2016,4376528,160021091,01/02/2016,01/02/2016,09:30:00,01/02/2016,09:35:00,303,,4,803 PRYOR ST SW,0420,1315K,,1,Day,Sat,26,AGG ASSAULT,Mechanicsville,V,-84.394019999999998,33.73283
2016,4376529,160021099,01/02/2016,01/01/2016,18:40:00,01/01/2016,18:42:00,312,,,3455 EMPIRE BLVD SW,0690,2399,,2,Eve,Fri,29,LARCENY-NON VEHICLE,Glenrose Heights,Z,-84.392349999999993,33.660139999999998
2016,4376530,160021101,01/02/2016,01/01/2016,23:00:00,01/02/2016,07:50:00,405,,,202 PEYTON RD SW,0710,2404,,1,Morn,Sat,20,AUTO THEFT,Chalet Woods,I,-84.472650000000002,33.748510000000003
2016,4376531,160021103,01/02/2016,01/02/2016,09:40:00,01/02/2016,09:45:00,210,,323,3405 LENOX RD NE,0315,1207,,1,Day,Sat,14,ROBBERY-RESIDENCE,Lenox,B,-84.359970000000004,33.847810000000003
2016,4376533,160021166,01/02/2016,01/02/2016,04:00:00,01/02/2016,04:05:00,213,,,1738 PINE RIDGE DR NE,0521,2204,,1,Morn,Sat,20,BURGLARY-RESIDENCE,Morningside/Lenox Park,F,-84.360900000000001,33.80198
2016,4376534,160021177,01/02/2016,01/02/2016,09:30:00,01/02/2016,10:00:00,208,,,3255 PEACHTREE RD NE @CALL BOX 8,0640,2305,,1,Day,Sat,18,LARCENY-FROM VEHICLE,Peachtree Park,B,-84.370829999999998,33.843910000000001
2016,4376535,160021180,01/02/2016,01/01/2016,10:00:00,01/02/2016,10:00:00,211,,,2163 PIEDMONT RD NE,0650,2304,,1,Unk,Fri,18,LARCENY-FROM VEHICLE,Lindridge/Martin Manor,F,-84.366370000000003,33.816180000000003
2016,4376536,160021194,01/02/2016,01/01/2016,21:00:00,01/02/2016,10:00:00,610,,,2338 1ST AVE NE,0640,2305,,1,Morn,Sat,13,LARCENY-FROM VEHICLE,Kirkwood,O,-84.310839999999999,33.753959999999999
2016,4376537,160021206,01/02/2016,01/02/2016,10:45:00,01/02/2016,10:45:00,204,,,1801 HOWELL MILL RD NW,0630,2303,,1,Day,Sat,8,LARCENY-NON VEHICLE,Berkeley Park,D,-84.412779999999998,33.803879999999999
2016,4376540,160021278,01/02/2016,01/02/2016,11:20:00,01/02/2016,11:30:00,407,,,415 FAIRBURN RD SW @HIDDEN HOLLOW APTS,0345,1209,,1,Day,Sat,20,ROBBERY-RESIDENCE,Fairburn Mays,H,-84.512529999999998,33.743989999999997
2016,4376541,160021280,01/02/2016,01/02/2016,12:00:00,01/02/2016,12:00:00,210,,,3393 PEACHTREE RD NE,0630,2303,,1,Day,Sat,,LARCENY-NON VEHICLE,Lenox,B,-84.362120000000004,33.846760000000003
2016,4376542,160021282,01/02/2016,01/01/2016,19:00:00,01/01/2016,20:00:00,203,,,1990 MAIN ST NW,0710,2404A,,1,Eve,Fri,20,AUTO THEFT,Riverside,D,-84.470839999999995,33.809820000000002
2016,4376543,160021288,02/04/2016,01/02/2016,11:00:00,02/04/2016,14:00:00,105,,,29 CHAPPELL RD NW,0345,1209,20,1,Unk,Unk,,ROBBERY-RESIDENCE,Hunter Hills,K,-84.433199999999999,33.754930000000002
2016,4376544,160021343,01/02/2016,01/02/2016,11:45:00,01/02/2016,12:06:00,511,,,44 PRYOR ST SE,0311,1204,,1,Day,Sat,13,ROBBERY-PEDESTRIAN,Downtown,M,-84.389309999999995,33.753320000000002
2016,4376545,160021345,01/02/2016,01/01/2016,22:00:00,01/02/2016,12:00:00,501,,,401 10TH ST NW,0640,2305,,1,Morn,Sat,13,LARCENY-FROM VEHICLE,Home Park,E,-84.40025,33.781930000000003
2016,4376546,160021438,01/02/2016,01/02/2016,13:15:00,01/02/2016,13:15:00,204,,,1801 HOWELL MILL RD NW,0630,2303,,1,Day,Sat,8,LARCENY-NON VEHICLE,Berkeley Park,D,-84.412779999999998,33.803879999999999
2016,4376547,160021447,01/02/2016,01/02/2016,12:55:00,01/02/2016,13:00:00,204,,2708,2708 NOBLE CREEK DR NW,0311,1204,,1,Day,Sat,18,ROBBERY-PEDESTRIAN,Cross Creek,C,-84.425839999999994,33.8155
2016,4376548,160021466,01/02/2016,01/02/2016,13:00:00,01/02/2016,13:18:00,402,,,1004 LAWTON AVE SW,0410,1314,10,1,Day,Sat,20,AGG ASSAULT,Oakland City,S,-84.42098,33.725340000000003
2016,4376550,160021531,01/02/2016,01/02/2016,12:00:00,01/02/2016,13:59:00,206,,,130 W PACES FERRY RD NW,0640,2305,,1,Day,Sat,,LARCENY-FROM VEHICLE,Peachtree Heights West,B,-84.386269999999996,33.841920000000002
2016,4376551,160021549,01/02/2016,01/01/2016,23:00:00,01/02/2016,14:11:00,112,,,2868 ENGLE RD NW,0640,2305,,1,Morn,Sat,13,LARCENY-FROM VEHICLE,Collier Heights,I,-84.481059999999999,33.769590000000001
2016,4376552,160021688,01/02/2016,01/02/2016,14:00:00,01/02/2016,15:40:00,202,,,135 W WIEUCA RD NW,0640,2305,,1,Day,Sat,18,LARCENY-FROM VEHICLE,Chastain Park,A,-84.392020000000002,33.875889999999998
2016,4376553,160021709,01/02/2016,01/02/2016,14:50:00,01/02/2016,15:20:00,206,,,3099 PEACHTREE RD NE,0620,2302,,1,Eve,Sat,,LARCENY-NON VEHICLE,Peachtree Heights West,B,-84.384100000000004,33.83399
2016,4376554,160021724,01/02/2016,01/02/2016,15:39:00,01/02/2016,15:41:00,112,,,753 WATERFORD RD NW,0710,2404,,1,Eve,Sat,20,AUTO THEFT,Collier Heights,I,-84.489559999999997,33.771979999999999
2016,4376555,160021779,01/02/2016,01/02/2016,15:00:00,01/02/2016,15:30:00,602,,,725 PONCE DE LEON AVE NE @KROGER - PONCE,0660,2317,,1,Eve,Sat,18,LARCENY-NON VEHICLE,Poncey-Highland,N,-84.363510000000005,33.773429999999998
2016,4376556,160021784,01/02/2016,01/02/2016,04:00:00,01/02/2016,04:30:00,507,,,602 MARIETTA ST NW,0640,2305,,1,Morn,Sat,18,LARCENY-FROM VEHICLE,Downtown,M,-84.398870000000002,33.769509999999997
2016,4376557,160021871,01/02/2016,01/02/2016,16:20:00,01/02/2016,16:43:00,411,,,2975 HEADLAND DR SW @BIG LOTS - HEADLAND,0640,2305,,1,Eve,Sat,24,LARCENY-FROM VEHICLE,Greenbriar,R,-84.487200000000001,33.691679999999998
2016,4376558,160021907,01/02/2016,01/02/2016,15:52:00,01/02/2016,16:07:00,112,,,930 KINGS GRANT DR NW,0710,2404,,1,Eve,Sat,13,AUTO THEFT,Collier Heights,I,-84.480840000000001,33.778709999999997
2016,4376559,160021933,01/02/2016,01/01/2016,21:30:00,01/01/2016,21:30:00,204,,3422,1750 COMMERCE DR NW,0710,2404,,1,Eve,Fri,18,AUTO THEFT,Berkeley Park,D,-84.410929999999993,33.801740000000002
2016,4376560,160021938,01/02/2016,01/02/2016,16:00:00,01/02/2016,17:00:00,501,,,1044 HAMPTON ST  NW,0690,2399,,1,Eve,Sat,20,LARCENY-NON VEHICLE,Home Park,E,-84.407020000000003,33.783290000000001
2016,4376561,160021959,01/02/2016,01/02/2016,14:30:00,01/02/2016,17:15:00,508,,,366 WILLIAMS ST,0640,2305,,1,Eve,Sat,18,LARCENY-FROM VEHICLE,Downtown,M,-84.390479999999997,33.764569999999999
